,AdaptorLong reward (mean),AdaptorLong reward (std),AdaptorLong prediction (mean),AdaptorLong prediction (std),Cautious QLearner reward (mean),Cautious QLearner reward (std),Cautious QLearner prediction (mean),Cautious QLearner prediction (std),Cooperator reward (mean),Cooperator reward (std),Cooperator prediction (mean),Cooperator prediction (std),Defector reward (mean),Defector reward (std),Defector prediction (mean),Defector prediction (std),Evolved ANN 5 Noise 05 reward (mean),Evolved ANN 5 Noise 05 reward (std),Evolved ANN 5 Noise 05 prediction (mean),Evolved ANN 5 Noise 05 prediction (std),Evolved ANN reward (mean),Evolved ANN reward (std),Evolved ANN prediction (mean),Evolved ANN prediction (std),Random reward (mean),Random reward (std),Random prediction (mean),Random prediction (std),Tit For Tat reward (mean),Tit For Tat reward (std),Tit For Tat prediction (mean),Tit For Tat prediction (std),Worse and Worse reward (mean),Worse and Worse reward (std),Worse and Worse prediction (mean),Worse and Worse prediction (std)
888,0.5717,0.620208924,0.820716516,0.731668936,3.4617,1.167532916,5.039488856,2.243083087,3.8328,0.985922999,5.9224795,1.962205982,0.5639,0.49589998,0.826670547,0.677814699,1.5402,1.673076197,2.315759097,2.656754659,0.487,0.503021868,0.685856265,0.665364996,1.7063,1.662901173,2.092844652,1.732351199,2.6874,1.844581589,4.123686704,1.967285799,0.525,1.086542682,0.951815267,1.177129501
889,0.5548,0.624497366,0.809027144,0.728421034,3.4896,1.159090954,5.056631451,2.243043187,3.8466,0.988164177,5.935357102,1.972634141,0.5641,0.495874168,0.839198978,0.663526121,1.5369,1.667584598,2.327004885,2.65294827,0.483,0.502902575,0.68720432,0.65551799,1.7024,1.654942368,2.09933684,1.741599317,2.7242,1.846275808,4.144028743,1.968115656,0.5134,1.068279196,0.945393955,1.156338245
890,0.5756,0.647058452,0.809435684,0.752291641,3.4545,1.165474045,5.047725906,2.224635521,3.8528,0.989106749,5.960002594,1.938014112,0.5675,0.495422799,0.833454949,0.676230069,1.5379,1.665041618,2.317609198,2.654413093,0.486,0.50299503,0.691518221,0.655690544,1.7141,1.657395906,2.063569407,1.73324141,2.6783,1.866764342,4.1278582,1.963904681,0.5471,1.104708826,0.943960623,1.16871147
891,0.5523,0.611608298,0.805997357,0.753259594,3.4529,1.17447077,5.049154164,2.229222632,3.846,0.988070848,5.925176404,1.973375127,0.5652,0.495730733,0.832595988,0.674032969,1.5369,1.673152232,2.315014694,2.664910947,0.4882,0.503051449,0.701267852,0.660018192,1.696,1.657463122,2.082155111,1.735949387,2.6922,1.849286122,4.116866045,1.977391792,0.5185,1.058800146,0.921328251,1.168316237
892,0.5694,0.638892511,0.820793655,0.734488134,3.4863,1.169962525,5.035452356,2.266379779,3.8334,0.986024564,5.908307073,1.979782827,0.5734,0.494583097,0.846251968,0.669652598,1.5447,1.676544634,2.307892156,2.670598434,0.5019,0.501793175,0.709155727,0.658759808,1.708,1.651949152,2.016821202,1.724933977,2.7099,1.856055492,4.139530617,1.973444383,0.5129,1.087581533,0.922023518,1.158192056
893,0.5565,0.620167518,0.806522686,0.736194832,3.4694,1.169214967,5.036631227,2.266282406,3.8324,0.985855081,5.887076782,2.011792032,0.5647,0.495796238,0.830161385,0.676411484,1.5347,1.669130286,2.322650381,2.651315217,0.4853,0.502975059,0.69239688,0.658478077,1.7159,1.6628852,2.056623709,1.73720349,2.6887,1.858438137,4.126511466,1.96468459,0.5322,1.076737275,0.922795117,1.160993888
894,0.5576,0.631254497,0.800807936,0.740156602,3.4691,1.169036009,5.034824412,2.260047752,3.8322,0.985821059,5.932004604,1.957165949,0.5697,0.495118077,0.826928021,0.687682968,1.5398,1.676011921,2.329505996,2.654301181,0.4897,0.503084396,0.695935863,0.65902453,1.6926,1.665984766,2.071041538,1.730844818,2.6906,1.856467517,4.123413525,1.968778057,0.5387,1.098773093,0.905983895,1.146347647
895,0.5449,0.602149475,0.80100936,0.736797166,3.4757,1.155253007,5.041873432,2.237415331,3.8654,0.990900015,5.9245132,2.020053685,0.5641,0.495874168,0.829522767,0.679270201,1.5326,1.668753199,2.314843884,2.649850189,0.4888,0.503065165,0.696629899,0.658262885,1.7006,1.65974686,2.089916601,1.724507331,2.684,1.836230922,4.117554572,1.96423178,0.503,1.05839076,0.889473577,1.140626126
896,0.5583,0.618870835,0.805878883,0.735162308,3.4761,1.151533234,5.01486521,2.274511545,3.846,0.988070848,5.911232591,2.002897751,0.5665,0.495558019,0.836838014,0.672245871,1.5367,1.675008391,2.317420305,2.65775886,0.4991,0.50318902,0.709183833,0.651138116,1.7476,1.663157912,2.091352854,1.749842508,2.7202,1.83796408,4.17130227,1.937376654,0.5239,1.076117461,0.903009015,1.142959857
897,0.5637,0.617205241,0.824694801,0.74720275,3.4608,1.152763358,5.053645599,2.220493892,3.8412,0.987310772,5.906926959,2.010324726,0.5711,0.494918973,0.834969902,0.684426378,1.5304,1.678772123,2.306427913,2.657622917,0.4792,0.501365495,0.686672019,0.655893011,1.6989,1.65844469,2.032833587,1.712820963,2.6868,1.847946363,4.140835966,1.949877931,0.5142,1.069859037,0.903017096,1.137782839
